truth,detected,match,precision
en,en,Y,0.8045734763145447
en,en,Y,0.9736455678939819
en,en,Y,0.9100601673126221
en,en,Y,0.966313898563385
en,en,Y,0.9374732971191406
en,en,Y,0.9521499872207642
en,en,Y,0.9671662449836731
en,en,Y,0.9878571033477783
en,en,Y,0.9373487830162048
en,en,Y,0.9353912472724915
en,en,Y,0.9679946899414062
en,en,Y,0.9743918776512146
en,en,Y,0.968265175819397
en,en,Y,0.881374716758728
en,en,Y,0.9852839708328247
en,en,Y,0.7744496464729309
en,en,Y,0.9841483235359192
en,en,Y,0.9370147585868835
en,en,Y,0.9452579617500305
en,en,Y,0.970268964767456
en,en,Y,0.9669433236122131
en,en,Y,0.9732905626296997
en,en,Y,0.9572622776031494
en,en,Y,0.969334602355957
en,en,Y,0.8788001537322998
en,en,Y,0.9619717001914978
en,en,Y,0.8727925419807434
en,en,Y,0.943091630935669
en,en,Y,0.9408579468727112
en,en,Y,0.9215241074562073
en,en,Y,0.9490388035774231
en,en,Y,0.945181131362915
en,en,Y,0.9713309407234192
en,en,Y,0.9119445085525513
en,en,Y,0.9361109137535095
en,en,Y,0.9504427909851074
en,en,Y,0.9422200322151184
en,en,Y,0.8092872500419617
en,en,Y,0.8711381554603577
en,en,Y,0.968494176864624
en,en,Y,0.7732040882110596
en,en,Y,0.7696433663368225
en,en,Y,0.8447550535202026
en,en,Y,0.9691322445869446
en,en,Y,0.9634265899658203
en,en,Y,0.9335500001907349
en,en,Y,0.8476841449737549
en,en,Y,0.8894973993301392
en,en,Y,0.9229791760444641
en,en,Y,0.9469667077064514
en,en,Y,0.8974432945251465
en,en,Y,0.897108793258667
en,en,Y,0.5827752351760864
en,en,Y,0.9261438250541687
en,en,Y,0.937109649181366
en,en,Y,0.9081891179084778
en,en,Y,0.9686853885650635
en,en,Y,0.9331023693084717
en,en,Y,0.9889288544654846
en,en,Y,0.6807336807250977
en,en,Y,0.9784196615219116
en,en,Y,0.9187597036361694
en,en,Y,0.723210871219635
en,en,Y,0.861676812171936
en,en,Y,0.9829217195510864
en,en,Y,0.9503406286239624
en,en,Y,0.9492160677909851
en,en,Y,0.8654773831367493
en,en,Y,0.915061354637146
en,en,Y,0.9456278085708618
en,en,Y,0.954568088054657
en,en,Y,0.9747413992881775
en,en,Y,0.9781596064567566
en,en,Y,0.9691370129585266
en,en,Y,0.9357298612594604
en,en,Y,0.9834123849868774
en,en,Y,0.8050765991210938
en,en,Y,0.8609572052955627
en,en,Y,0.9523911476135254
en,en,Y,0.9849859476089478
en,en,Y,0.960898756980896
en,en,Y,0.9731821417808533
en,en,Y,0.9433566331863403
en,en,Y,0.9817792773246765
en,en,Y,0.9549393057823181
en,en,Y,0.989208459854126
en,en,Y,0.9789615869522095
en,en,Y,0.930955708026886
en,en,Y,0.9737361669540405
en,en,Y,0.900763750076294
en,en,Y,0.9652809500694275
en,en,Y,0.9099516868591309
en,en,Y,0.9723588824272156
en,en,Y,0.97347491979599
en,en,Y,0.9388684630393982
en,en,Y,0.9456932544708252
en,en,Y,0.9519221186637878
en,en,Y,0.8810211420059204
en,en,Y,0.9574058055877686
en,en,Y,0.9784581065177917
en,en,Y,0.9209490418434143
en,en,Y,0.9413660764694214
en,en,Y,0.97878098487854
en,en,Y,0.9690159559249878
